<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xe$Offset   Xe$Name                Xe$DataType   Xe$Size
====================   =========   ====================   ===========   =======
Ingred_Usage                   0   Ingredient                       0         8
Ingred_Usage                   8   Date_Used                        1         4
Ingred_Usage                  12   Net_Wt                           2         8
Ingred_Usage                  20   Batch_No                         0         6
Ingred_Usage                  26   Lot_No                           0        14
Ingred_Usage                  36   NN_Ingredient                  227         0
Ingred_Usage                  38   NN_Date                        227         0
Ingred_Usage                  40   NN_Net_Wt                      227         0
Ingred_Usage                  40   Trans_Count                      1         4
Ingred_Usage                  42   NN_Batch_No                    227         0
Ingred_Usage                  44   NN_Lot_No                      227         0
Ingred_Usage                  44   Reserved                         0         9
Ingred_Usage                  46   NN_Trans_Count                 227         0
Ingredients                    0   Ingredient                      10         9
Ingredients                    9   Description                     10        31
Ingredients                   40   Process_Type                    14         1
Ingredients                   41   Tol_NegPercent                   2         8
Ingredients                   49   Tol_PosPercent                   2         8
Ingredients                   57   Specif_Gravity                   2         8
Ingredients                   65   Hazard_Code                      0         1
Ingredients                   66   Reserved1                        0         1
Ingredients                   67   Cost                             2         8
Ingredients                   75   Instruction1                    10        31
Ingredients                  106   Instruction2                    10        31
Ingredients                  137   Mixing_Yield                     2         8
Ingredients                  145   Reserved2                        0         4
Ingredients                  149   Standard_Wt                      2         8
Ingredients                  157   No_Tare                         16         1
Ingredients                  158   Container_Wt                     2         8
Ingredients                  166   Prep_Area                       10         9
Ingredients                  175   Reserved                         0        62
Ingredients                  357   NN_Ingredient                  227         0
Ingredients                  359   NN_Description                 227         0
Ingredients                  361   NN_Process_Type                227         0
Ingredients                  363   NN_Tol_NegPercent              227         0
Ingredients                  365   NN_Tol_PosPercent              227         0
Ingredients                  367   NN_Specif_Gravity              227         0
Ingredients                  369   NN_Hazard_Code                 227         0
Ingredients                  371   NN_Reserved1                   227         0
Ingredients                  373   NN_Cost                        227         0
Ingredients                  375   NN_Instruction1                227         0
Ingredients                  377   NN_Instruction2                227         0
Ingredients                  379   NN_Mixing_Yield                227         0
Ingredients                  381   NN_Reserved2                   227         0
Ingredients                  383   NN_Standard_Wt                 227         0
Ingredients                  386   NN_Container_Wt                227         0
Ingredients                  388   NN_Prep_Area                   227         0
Ingredients                  390   NN_Reserved                    227         0
LotCost                        0   Ingredient                       0         8
LotCost                        8   Lot_No                           0        14
LotCost                       19   NN_Ingredient                  227         0
LotCost                       21   NN_LotNo                       227         0
LotCost                       22   Cost                             2         8
LotCost                       23   NN_Cost                        227         0
LotCost                       25   NN_WeightIn                    227         0
